Date,Building Number,Project Name,Address,Status,Url
08/31/2006,2006-010169,INT RENO,"50 BARRETT PKY, 450, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BLD&capID2=00000&capID3=02690&agencyCode=COBBCO&IsToShowInspection=
08/31/2006,2006-010165,FIRE DAMAGE REPAIR,"3500 WINDCLIFF DR BLDG, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BLD&capID2=00000&capID3=02689&agencyCode=COBBCO&IsToShowInspection=
08/31/2006,2006-010168,GAZEBO,"1198 PEYTON DR, KENNESAW GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=02925&agencyCode=COBBCO&IsToShowInspection=
08/31/2006,2006-010175,SINGLE FAMILY STICK BUILT,"5638 HARBOR MIST DR, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=02924&agencyCode=COBBCO&IsToShowInspection=
08/31/2006,2006-010174,SINGLE FAMILY STICK BUILT,"5636 HARBOR MIST DR, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=02923&agencyCode=COBBCO&IsToShowInspection=
08/31/2006,2006-010183,REPERMIT,"4751 HART DR, KENNESAW GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=11671&agencyCode=COBBCO&IsToShowInspection=
08/31/2006,2006-010182,RENOVAITON,"4475 ROSWELL RD, 700, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=11670&agencyCode=COBBCO&IsToShowInspection=
08/31/2006,2006-010181,RENVOATION,"1450 VETERANS MEMORIAL HWY, 700, MABLETON GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=11669&agencyCode=COBBCO&IsToShowInspection=
08/31/2006,2006-010180,ADDITION,"3582 TUCKERS FARM, MARIETTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=11668&agencyCode=COBBCO&IsToShowInspection=
08/31/2006,2006-010179,REPERMIT,"4154 CHARLESTON TRL, SMYRNA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=11667&agencyCode=COBBCO&IsToShowInspection=
08/31/2006,2006-010178,RENOVATION,"4240 SAINT MORITZ CT, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=11666&agencyCode=COBBCO&IsToShowInspection=
08/31/2006,2006-010177,FREESTANDING SIGNS,"3405 DALLAS HWY, 400, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=11665&agencyCode=COBBCO&IsToShowInspection=
08/31/2006,2006-010176,REFACE,"520 CASTEEL RD, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=11664&agencyCode=COBBCO&IsToShowInspection=
