Date,Building Number,Project Name,Address,Status,Url
01/31/2006,2006-001062,RENOVATION,"4475 ROSWELL RD, 1100, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=01113&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001061,RENOVATION,"1133 CHASTAIN RD, 600, KENESSAW GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=01112&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001060,RENOVATION,"1750 POWDER SPRINGS RD, 320, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=01111&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001059,ELEC,"2195 WEST SANDTOWN RD, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=01110&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001058,OMT WATERLINES,"2023 ARBOR FOREST DR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=01109&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001057,INT WATERLINES,"4206 HONEY CREEK WAY, POWDER SPRINGS GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=01108&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001056,REPERMIT,"4617 CLARY LAKES DR NE, ROSWELL GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=01107&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001055,FREE STANDING BUILDING,"3961 FLOYD RD, AUSTELL GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=01106&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001052,BARRIER,"1862 WICKS VALLEY DR, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00998&agencyCode=COBBCO&IsToShowInspection=
01/31/2006,2006-001051,SINGLE FAMILY STICK BUILT,"2533 LAKEFIELD TRL, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=00997&agencyCode=COBBCO&IsToShowInspection=
